Course_ID,Course_Time,Course_Title,Course_Rating (5),Course_Level,Course_Description,
14,6,Generative AI - A Way of Life - Free Course,4.7,Beginner,"Embark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.",
15,1,Applications using Prompt Engineering - Free Course,4.7,Beginner,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting",
16,2.1,Building LLM Applications using Prompt Engineering - Free Course,4.6,Beginner,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting",
17,0.5,Building Your First Computer Vision Model - Free Course,4.5,Beginner,Embarking on a career in Computer Vision can be straightforward with the right guidance. This course provides an ideal pathway to master the complexities of image data analysis.,
18,1,Bagging and Boosting ML Algorithms - Free Course,4.7,Beginner,This free course on Advanced ML Algorithms - Bagging and Boosting is perfect place to get a taste of how advanced ML algorithms look like and function on a real-world business problem.,
19,0.5,MidJourney: From Inspiration to Implementation,4.6,Intermediate,Understand the fundamentals of the famous image generation tool - Midjourney in this free course. You will learn the various components of Midjourney and how to use it to bring your imaginations to real world.,
20,1,Understanding Linear Regression - Free Course,4.7,Intermediate,Linear Regression is one of the foundational algorithms used in the industry to make predictions for regression problems. In this free course let us understand Linear Regression using a Business Case Study,
21,1,The Working of Neural Networks ,4.7,Intermediate,Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.,
22,1,Building Your first RAG System using LlamaIndex ,4.8,Intermediate,Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.,
23,1,Data Preprocessing on a Real-World Problem Statement - Free Course,4.8,Intermediate,Kickstarting your career in Data Science can be easy with the right guide. This free course will serve as the perfect path to help beginners navigate the complex terrain of Data Preprocessing and prepare any data for modelling.,
24,1,Exploring Stability.AI - Free Course,4.5,Beginner,"Explore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPU environments, and master installation, setup, generation, and customization of SD.",
25,1,Building a Text Classification Model with Natural Language Processing - Free Course,4.7,Intermediate,"Explore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications. Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects.a",
26,1.2,Analytics Vidhya Agentic AI Pioneer Program GenAI Pinnacle AI&ML BlackBelt Plus Free Courses Blogs My Dashboard Manish Getting Started with Large Language Models,4.5,Beginner,Analytics Vidhya Agentic AI Pioneer Program GenAI Pinnacle AI&ML BlackBelt Plus Free Courses Blogs My Dashboard Manish Getting Started with Large Language Models,
27,1,Introduction to Generative AI,4.7,Beginner,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content.",
28,4,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content.",4.6,Intermediate,"Natural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you the latest developments in Natural Language Processing like BERT, Transformers using PyTorch.",
29,9,Getting Started with Deep Learning,4.7,Intermediate,"What is deep learning? How can you get started with deep learning? This comprehensive course will provide you with everything you need to know about deep learning with Python, including a deep dive into neural networks!",
30,1,Nano Course: Dreambooth-Stable Diffusion for Custom Imagesa,4.6,Advanced,"Theory to Practice: Dive into Stable Diffusion, its history, and significance, then master the Dreambooth process. Learn how to fine-tune Dreambooth model with your custom images discussing step by step in detail.",
31,1,"theory to practice: dive into stable diffusion, its history, and significance, then master the dreambooth process. learn how to fine-tune dreambooth model with your custom images discussing step by step in detail.inA Comprehensive Learning Path for Deep Learning in 2023",4.7,Advanced,Here is a free learning path for people who want to become a Deep Learning expert in 2023.,
32,2,Here is a free learning path for people who want to become a Deep Learning expert in 2023.,4.8,Beginner,"Want to become a data scientist this year, but confused about where to start and what to follow? This comprehensive learning path from Analytics Vidhya should provide you with all the answers you need!",
33,0.5,Nano Course: Building Large Language Models for Code,4.7,Intermediate,"https://courses.analyticsvidhya.com/courses/building-large-language-models-for-codeLearn%20how%20to%20train%20Large%20Language%20Models%20for%20Code%20from%20Scratch%20covering%20each%20step%20involved%20in%20detail%20from%20training%20data%20curation%20to%20model%20evaluation.%20Deep%20dive%20into%20the%20journey%20of%20creating%20Starcoder,%20a%2015B%20parameter%20code%20generation%20model.",
34,0.5,Nano Course: Cutting Edge LLM Tricks,4.7,Advanced,Learn cutting edge LLM tricks and techniques from top research papers including DeepMind and Meta AI and apply these tricks in building your own state of the art LLMs.,
35,1,Certified AI & ML BlackBelt+ Program,4.7,Advanced,"This comprehensive certified program combines the power of data science, machine learning and deep learning to help you become an AI & ML Blackbelt! Go from a complete beginner to gaining in-demand industry-relevant AI skills.",
36,1,"This comprehensive certified program combines the power of data science, machine learning and deep learning to help you become an AI & ML Blackbelt! Go from a complete beginner to gaining in-demand industry-relevant AI skills.",4.7,Advanced,"In this free Machine Learning Summer Training, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.a",
37,1,AI Ethics by Fractal,4.7,Advanced,Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.,
38,1,A Comprehensive Learning Path to Become a Data Engineer in 2022,4.7,Advanced,"Want to become a data engineer this year, but confused about where to start and what to follow? This comprehensive learning path from Analytics Vidhya should provide you with all the answers you need!",
39,1,Certified Business Analytics Program,4.7,Advanced,"Business analytics is a thriving and in-demand field in the industry today. This comprehensive program consisting of multiple courses will teach you all you need to know about business analytics, from tools like Python to machine learning algorithms!",
40,1,Certified Machine Learning Master's Program (MLMP),4.7,Advanced,"Take the ultimate leap from a beginner to a complete machine learning professional with Certified Machine Learning Program spanning 5+ courses including Python and advanced algorithms in ML, and 12+ real-life projects.",
41,1,Certified Natural Language Processing Master? Program,4.7,Advanced,"Natural Language Processing (NLP) is the science of teaching machines how to interpret text and extract information from it. This program covers basics of Python, Machine Learning & NLP. It includes 17+ projects to prepare you for industry roles",
42,1,Certified Computer Vision Master's Program,4.7,Advanced,certified computer vision master's programsGet ready to become the Next-Gen Computer Vision Wizard - Accelerate your career in Computer Vision with this comprehensive program!,
43,1,Applied Machine Learning - Beginner to Professional,4.7,Advanced,"This course provides you all the tools and techniques you need to apply machine learning to solve business problems. We will cover the basics of machine learning, how to build machine learning models, improve and deploy your machine learning models.",
44,1,Ace Data Science Interviews,4.7,Advanced,"A comprehensive course covering different kinds of interviews in data science industry and how to ace these interviews. This includes technical interviews on data science / machine learning, case study interviews, guesstimate based interviews.",
45,1,Writing Powerful Data Science Articles,4.7,Advanced,Are you looking to write and publish your data science article? Or perhaps you are looking for tips and tricks to improve your article? readability and viewership. This course on writing powerful data science articles is for you!,
46,6,Machine Learning Certification Course for Beginners,4.8,Beginner,"In this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.",
47,1,Data Science Career Conclave - Transition to Data Science!,4.7,Beginner,Here? the perfect course to help you get all your data science career queries answered. Top data science experts expound on what they look for in a data science professional and how you can build those skills.,
48,1,Top Data Science Projects for Analysts and Data Scientists,4.6,Advanced,"Kick-start your career in data science with our data science courses and projects including learning on projects covering machine learning, computer vision, deep learning, natural language processing, reinforcement learning & data engineering.Top Data Science Projects for Analysts and Data Scientists",
49,1,Getting Started with Git and GitHub for Data Science Professionals,4.7,Advanced,Upskill your data science acumen with Analytics Vidhya's Github course for data scientists that empowers you with learning the value and the ins and out? of Git and GitHub and using Git and GitHub to make your data science projects easier to track.,
50,1,Machine Learning Starter Programa,4.7,Advanced,Step-by-step online program to learn the basics of Machine Learning with focus on concepts as well as practical problem solving. Ideal for beginners who want to start their journey in Machine Learning.,
51,1,"Data Science Hacks, Tips and Tricks",4.7,Advanced,"Learn key data science hacks, tips and tricks to become a better and more efficient data scientist. These data science hacks cover a wide range of data science topics like speeding up Python code, optimizing your data science algorithm and much more!",
52,1,Introduction to Business Analytics,4.6,Beginner,Business analytics is thriving ·and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.a,
53,1,Introduction to PyTorch for Deep Learning,4.6,Beginner,PyTorch is a popular and leading deep learning framework. But what exactly is PyTorch? How does PyTorch work? How can you use PyTorch to build deep learning models? This PyTorch tutorial course will help you answer these questions in detail.,
54,1,Introductory Data Science for Business Managers,4.7,Beginner,This program is meant for Business Managers to understand Data Science and Machine Learning and be able to apply them to solve their Business Problems,
55,5,Introduction to Natural Language Processing,4.7,Beginner,"Natural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you basics of NLP, Regular Expressions and Text Preprocessing.",
56,1,Getting started with Decision Trees,4.7,Beginner,Decision Tree algorithm is one of the most powerful algorithm in Machine Learning. Decision trees are used by beginners/ experts to build machine learning models. This course provides you everything about Decision Trees & their Python implementation.,
57,1,Introduction to Python,4.8,Beginner,"Power up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.",
58,1,Loan Prediction Practice Problem (Using Python),4.7,Intermediate,This course is aimed for people getting started into Data Science and Machine Learning while working on a real life practical problem.,
59,1,Big Mart Sales Prediction Using R,4.6,Intermediate,This course is aimed for people getting started into Data Science and Machine Learning while solving the Big Mart Sales Prediction problem.,
60,1,Twitter Sentiment Analysis,4.7,Intermediate,What is sentiment analysis? Why is sentiment analysis so popular in data science? And how can you perform sentiment analysis? Find the answers to all these questions in this free course on Sentiment Analysis using Python!,
61,1,Pandas for Data Analysis in Python,4.7,Beginner,What is Pandas? How can you perform data analysis and data manipulation using Pandas in Python? Learn how to work with Pandas in this superb free course and master the most popular Python library in data science.,
62,1,Support Vector Machine (SVM) in Python and R,4.7,Beginner,What is a Support Vector Machine (SVM) in machine learning? How does an SVM classifier work? How you can design an SVM classifier in Python and R? Learn all about Support Vector Machines (SVM) in this free course for data scientists!,
63,1,Evaluation Metrics for Machine Learning Models,4.7,Beginner,What are evaluation metrics in machine learning? What are the different types of evaluation metrics? How do you gauge and improve your machine learning model? This course will teach you all about evaluation metrics for machine learning models!,
64,1,Fundamentals of Regression Analysis,4.7,Beginner,"What is regression analysis? What are the different types of regression? What’s the difference between linear regression, logistic regression, ridge and lasso regression? This course on fundamentals of regression analysis will clear all your doubts!",
65,1,Getting Started with scikit-learn (sklearn) for Machine Learning,4.7,Beginner,Scikit-learn (Sklearn) - the powerful Python library for machine learning. But what is sklearn? How does sklearn work? What kind of ML models can you build using sklearn? Find out in this course and build sklearn models!,
66,1,Convolutional Neural Networks (CNN) from Scratch,4.7,Advanced,"Convolutional neural networks, or CNNs, have taken the deep learning community by storm. These CNN models power deep learning applications like object detection, image segmentation, facial recognition, etc. Learn all about CNN in this course.",
67,1,Dimensionality Reduction for Machine Learning,4.7,Beginner,"Dimensionality reduction is a key concept in machine learning. This course covers several dimensionality reduction techniques that every data scientist should know, including Principal Component Analysis (PCA) and Factor Analysis, among others!",
68,1,K-Nearest Neighbors (KNN) Algorithm in Python and R,4.7,Beginner,"A practical hands-on tutorial on the K-Nearest Neighbor (KNN) algorithm in both Python and R. This course covers everything you want to learn about KNN, including understanding how the KNN algorithm works and how to implement it.",
69,1,Ensemble Learning and Ensemble Learning Techniques,4.7,Beginner,Ensemble learning is a powerful machine learning technique every data scientist should know. But what is ensemble learning? How does ensemble learning work? This course is the perfect starting point to learn all about ensemble learning.Ensemble Learning and Ensemble Learning Techniques,
70,1,Linear Programming for Data Science Professionals,4.7,Beginner,"The Linear Programming for Data Science Professionals’ course will guide you on how to get started with linear programming (LP), the different components of LP, and how to solve linear programming problems using Excel, R and more!",
71,0.5,Naive Bayes from Scratch,4.6,Advanced,"Naive Bayes is a popular and widely used machine learning algorithm for classification problems. Learn what is Naive Bayes, how a Naive Bayes classifier works, and implement Naive Bayes yourself in this course!",
72,1,Learn Swift for Data Science,4.7,Beginner,V,
73,1,Introduction to Web Scraping using Python,4.7,Beginner,What is web scraping? Why is web scraping a must-know skill? How can you perform web scraping in Python? This course will cover all these aspects of web scraping and showcase how to perform web scraping using BeautifulSoup and Scrapy.,
74,0.25,Tableau for Beginners,4.6,Beginner,"Tableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!",
75,1,Getting Started with Neural Networks,4.7,Beginner,"Kick start your journey in deep learning with Analytics Vidhya's Introduction to Neural Networks course! Learn how a neural network works and its different applications in the field of Computer Vision, Natural Language Processing and more.",
76,2,Introduction to AI & ML,4.8,Beginner,"Artificial Intelligence (AI) and Machine Learning (ML) are changing the world around us. From functions to industries, AI and ML are disrupting how we work and how we function. Get to know all about the different facets of AI and ML in this course.",
77,1,Winning Data Science Hackathons - Learn from Elite Data Scientists,4.7,Beginner,"Competing in a data science hackathon is all about skills, tactics, creativity and learning! Here is a unique opportunity to understand how the top hackers approach various types of problem statements and competitions.",
78,1,Hypothesis Testing for Data Science and Analytics,4.7,Beginner,Hypothesis testing is one of the most fascinating steps data scientists perform and the most essential one! What is a hypothesis? How do I validate my hypothesis? Learn all the basics of hypothesis testing and how to implement them in your project!Hypothesis testing is one of the most fascinating steps data scientists perform and the most essential one! What is a hypothesis? How do I validate my hypothesis? Learn all the basics of hypothesis testing and how to implement them in your project!,
,,Hypothesis testing is one of the most fascinating steps data scientists perform and the most essential one! What is a hypothesis? How do I validate my hypothesis? Learn all the basics of hypothesis testing and how to implement them in your project!,,,,
